fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
47147,192273,150.0,3.0,37.0,32.0,6.0,10.0,7.0,191.0,22.0,75.0,37.0,22.0,200.0,68.0,78.0,18.0,428.0,5.0,20.0,6.0,0.0,309.0,9.0,0.0,0.0,0.0,0.0,21.0,24.0
47149,1000863,385.0,2.0,92.0,50.0,9.0,15.0,52.0,1331.0,57.0,68.0,101.0,9.0,1029.0,299.0,504.0,95.0,7894.0,15.0,205.0,19.0,0.0,1212.0,21.0,30.0,0.0,0.0,0.0,86.0,127.0
47151,66075,32.0,0.0,25.0,10.0,0.0,3.0,0.0,60.0,6.0,3.0,30.0,3.0,32.0,2.0,165.0,43.0,702.0,0.0,45.0,74.0,0.0,71.0,3.0,1.0,0.0,0.0,0.0,30.0,0.0
47153,44934,24.0,0.0,13.0,13.0,0.0,2.0,0.0,44.0,0.0,1.0,3.0,0.0,30.0,4.0,42.0,0.0,314.0,0.0,26.0,0.0,0.0,94.0,1.0,1.0,0.0,0.0,0.0,9.0,5.0
47155,296937,136.0,1.0,51.0,79.0,0.0,9.0,10.0,464.0,12.0,23.0,42.0,4.0,282.0,111.0,347.0,48.0,1480.0,0.0,85.0,16.0,0.0,476.0,9.0,0.0,0.0,0.0,0.0,45.0,54.0
47157,2811252,2219.0,31.0,829.0,843.0,95.0,131.0,669.0,4450.0,408.0,214.0,233.0,41.0,2111.0,513.0,605.0,148.0,15358.0,229.0,1027.0,24.0,9.0,6468.0,104.0,156.0,0.0,0.0,3.0,549.0,689.0
47159,60168,45.0,0.0,13.0,3.0,2.0,5.0,0.0,31.0,9.0,11.0,33.0,12.0,132.0,15.0,149.0,23.0,707.0,0.0,12.0,36.0,0.0,121.0,4.0,0.0,0.0,0.0,0.0,12.0,2.0
47161,40782,17.0,0.0,9.0,8.0,1.0,3.0,0.0,16.0,1.0,0.0,1.0,0.0,119.0,20.0,59.0,7.0,456.0,12.0,7.0,2.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0
47163,472449,267.0,5.0,204.0,174.0,7.0,3.0,25.0,983.0,29.0,49.0,150.0,25.0,257.0,41.0,631.0,68.0,7283.0,10.0,101.0,107.0,0.0,743.0,16.0,0.0,0.0,0.0,0.0,146.0,55.0
47165,553449,299.0,5.0,95.0,65.0,9.0,17.0,42.0,612.0,60.0,34.0,67.0,6.0,931.0,200.0,411.0,74.0,4454.0,37.0,126.0,29.0,3.0,908.0,18.0,49.0,0.0,0.0,1.0,83.0,71.0
